time,value,unit
2018-06-15 00:00:00 +0000,73.61363636,deg F
2018-06-15 00:01:00 +0000,61.36363636,deg F
2018-06-15 00:02:00 +0000,59.61363636,deg F
2018-06-15 00:03:00 +0000,71.34090909,deg F
2018-06-15 00:04:00 +0000,60.59090909,deg F
2018-06-15 00:05:00 +0000,77,deg F
2018-06-15 00:06:00 +0000,70.90909091,deg F
2018-06-15 00:07:00 +0000,82.59090909,deg F
2018-06-15 00:08:00 +0000,67.19902795,deg F
2018-06-15 00:09:00 +0000,63,deg F
2018-06-15 00:10:00 +0000,72.31818182,deg F
2018-06-15 00:11:00 +0000,60.27272727,deg F
2018-06-15 00:12:00 +0000,80.5,deg F
2018-06-15 00:13:00 +0000,61.81818182,deg F
2018-06-15 00:14:00 +0000,73.5,deg F
2018-06-15 00:15:00 +0000,69,deg F
2018-06-15 00:16:00 +0000,60,deg F
2018-06-15 00:17:00 +0000,72.61363636,deg F
2018-06-15 00:18:00 +0000,76,deg F
2018-06-15 00:19:00 +0000,73.18181818,deg F
2018-06-15 00:20:00 +0000,82.25,deg F
2018-06-15 00:21:00 +0000,64.43181818,deg F
2018-06-15 00:22:00 +0000,69.54545455,deg F
2018-06-15 00:23:00 +0000,67.29766836,deg F
2018-06-15 00:24:00 +0000,65.47727273,deg F
2018-06-15 00:25:00 +0000,70,deg F
2018-06-15 00:26:00 +0000,62.54545455,deg F
2018-06-15 00:27:00 +0000,75.40909091,deg F
2018-06-15 00:28:00 +0000,73.61363636,deg F
2018-06-15 00:29:00 +0000,78.75,deg F
2018-06-15 00:30:00 +0000,65.45454545,deg F
2018-06-15 00:31:00 +0000,59.09090909,deg F
2018-06-15 00:32:00 +0000,66.36363636,deg F
2018-06-15 00:33:00 +0000,65.86363636,deg F
2018-06-15 00:34:00 +0000,68.02272727,deg F
2018-06-15 00:35:00 +0000,71.81818182,deg F
2018-06-15 00:36:00 +0000,62.43181818,deg F
2018-06-15 00:37:00 +0000,67.77272727,deg F
2018-06-15 00:38:00 +0000,69.14193873,deg F
2018-06-15 00:39:00 +0000,55.90909091,deg F
2018-06-15 00:40:00 +0000,62.04545455,deg F
2018-06-15 00:41:00 +0000,79.04545455,deg F
2018-06-15 00:42:00 +0000,60.27272727,deg F
2018-06-15 00:43:00 +0000,67.5,deg F
2018-06-15 00:44:00 +0000,67.95454545,deg F
2018-06-15 00:45:00 +0000,74.54545455,deg F
2018-06-15 00:46:00 +0000,63.95454545,deg F
2018-06-15 00:47:00 +0000,71.59090909,deg F
2018-06-15 00:48:00 +0000,68.02272727,deg F
2018-06-15 00:49:00 +0000,62.00059905,deg F
2018-06-15 00:50:00 +0000,62.04545455,deg F
